,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,AAPL,MSFT,AMZN,TSLA,AAPL_RSI,AAPL_EMA,AAPL_SMA,AAPL_MACD,MSFT_RSI,MSFT_EMA,MSFT_SMA,MSFT_MACD,AMZN_RSI,AMZN_EMA,AMZN_SMA,AMZN_MACD,TSLA_RSI,TSLA_EMA,TSLA_SMA,TSLA_MACD
2016-05-09,0.07382732834806253,0.25397800950522104,0.3087319248574544,0.26794654605063356,0.058433816251237294,0.2961910940566369,0.7189482914415534,0.04262877442273535,0.0,0.03860750681807984,0.17105801441669616,0.25358879567055076,0.07387627328448626,0.06647064321298667,0.15410714009185306,0.031200517015835743,0.0608555641828839,0.08205110217639128,0.08443472678886874,0.41004154843968954,0.18429441948306702,0.07182121783465714,0.07343173608828837,0.3937129338375359,0.6699657886164272,0.14976234276733805,0.147663803549454,0.6561223896305752,0.18147735528013276,0.03960044595831831,0.03992445765365519,0.3937962833753679
2016-05-10,0.06104690686607751,0.26043121409550635,0.2876829856828784,0.27566691621468614,0.047410690182668955,0.30084093803497114,0.7190025804697658,0.04262877442273535,0.0,0.03860750681807984,0.11915645544964033,0.25397800950522104,0.07463626360361876,0.06858321547921718,0.16057123771677248,0.031163008941888493,0.10476495425050447,0.08140846266760746,0.0834269312148943,0.41058336845466326,0.29746256284691386,0.07165337979725728,0.0730136132621727,0.3975335525746987,0.7382872400660636,0.1514670455123679,0.14908659317752584,0.6617921081343439,0.18012277092735246,0.03914791918723334,0.0395737053241436,0.3923975934068
2016-05-11,0.07545887151597551,0.2554268495478031,0.31245866623768925,0.2681273729187989,0.06045847205974984,0.2906936702376547,0.7190879554679553,0.046181172291296625,0.0,0.03860750681807984,0.19592711685129227,0.26043121409550635,0.07353847851127548,0.06864994324515473,0.16338749570477515,0.031207039753412342,0.08042233078137845,0.08071963790852477,0.08226503427188883,0.410481276564534,0.3008534106430628,0.07150814763564622,0.0725183193247822,0.40115177316886846,0.764127859774588,0.15328751286779485,0.15048816226255773,0.6675513916751803,0.18398606444244436,0.0387432249149837,0.039165226389522245,0.3913994784919071
2016-05-12,0.0716519374575119,0.25533900193475195,0.30803595367043807,0.26845293069680115,0.06177449833528301,0.2831219284284173,0.7192044164361217,0.04795737122557727,0.0,0.03860750681807984,0.17289730262821168,0.2554268495478031,0.07092071278066721,0.06967288469753602,0.16469029708567398,0.030933066112140733,0.029483148349782495,0.07984033689958667,0.08096571982025066,0.4082172529712807,0.3532256495693663,0.07147825212606543,0.07207485721324727,0.40603372110929303,0.7758428018094814,0.15506325946400637,0.15187221335711928,0.6722562962578129,0.17281121602630778,0.03834761208370273,0.03876562158622653,0.39056285265610846
2016-05-13,0.08021753908905506,0.25094475763340257,0.28541298014192,0.2620257676551752,0.059626113560694693,0.27249915287640303,0.7193520190838887,0.05150976909413854,0.0,0.03860750681807984,0.14816603122037875,0.25533900193475195,0.07113783845963989,0.06871667101109229,0.16246998973259322,0.030986881030029476,0.042469339931749395,0.07906601880471933,0.07981533081851966,0.4073786479717542,0.3125641763253052,0.0713563200910805,0.07154846219111524,0.40882093443316053,0.7192958613946498,0.1564506227012143,0.15306897994371238,0.6736164945965675,0.17814509465238343,0.037995463478316324,0.038345220802547736,0.3900310475043195
2016-05-16,0.07532290958531611,0.2559792526764784,0.27664128550235045,0.26811314278138093,0.06163952128138217,0.28141555783785666,0.7199796994131549,0.04973357015985791,0.0,0.03860750681807984,0.10798632692953093,0.25094475763340257,0.07519117396725658,0.0703845003170697,0.16267512533084527,0.03109777456747707,0.25113317912611643,0.0787619561399523,0.07901721615061696,0.41185246012436605,0.39562269802836325,0.0714114969480188,0.07101515659040716,0.41395144478080337,0.7215443705898912,0.15772611410442963,0.1541415559086198,0.6740377021401117,0.18975938921194657,0.03768877741374937,0.0379365624772706,0.38977350966877444
2016-05-17,0.08742352141400407,0.25109541036136335,0.3445180259888823,0.26184042879221875,0.07830918743813553,0.2941328519513272,0.7202472170257523,0.04973357015985791,0.0,0.03860750681807984,0.14851789592616665,0.2559792526764784,0.07472070473051223,0.06823472372090998,0.15840915080719564,0.030505794140528193,0.23822223283286725,0.07844082894837451,0.07822998163375844,0.41550105452475106,0.3063232650473211,0.07124809960858161,0.07037856230749326,0.41501636028492705,0.6147783686099051,0.1584588473130989,0.15510104890955043,0.6705901374840538,0.16181941809253014,0.03734764284248769,0.0375537198650443,0.3893719100947142
2016-05-18,0.09259007477906185,0.25120088253768963,0.3436645396536007,0.2617238110806956,0.05115630342841718,0.27829979747861977,0.7205435922233823,0.05328596802841918,0.0,0.03860750681807984,0.15603912785784502,0.25109541036136335,0.07601149378923532,0.06890656191105096,0.15901343375404653,0.0315674466662193,0.29599923594745225,0.07827655460604685,0.07749521811298898,0.42038341977369176,0.339412623414713,0.07116692946344944,0.06986891459711478,0.4172024727621531,0.6231823990808583,0.1591814718745281,0.15601909776995726,0.6675583384335252,0.26959523423334825,0.03715315865359299,0.037205925493822734,0.3897134000952504
2016-05-19,0.09775662814411963,0.2492950578329856,0.31522802831251007,0.2585577790434502,0.06961441554935661,0.27114761512074315,0.7208689642801036,0.055062166962699825,0.0,0.03860750681807984,0.12125856886314464,0.25120088253768963,0.07557723234274433,0.06780925020328087,0.15931001330351938,0.032226289819091924,0.28234025116241557,0.07808544453060651,0.07680932739159449,0.42429439672742,0.29540415175465007,0.07098460513664032,0.06928054467481537,0.41753432721885697,0.6275196997705448,0.1598645635198422,0.15698072700518045,0.6646715416636771,0.3284748972378825,0.037048043339011454,0.03690940376739129,0.39042580258517606
2016-05-20,0.08239292997960569,0.25237854761972284,0.2773439594616333,0.260832518571197,0.08814001619724647,0.2796962842479168,0.7212234724699753,0.0586145648312611,0.0,0.03860750681807984,0.20027049572334593,0.2492950578329856,0.07680768181007555,0.06848106919118704,0.16049639494541024,0.033053107461852825,0.3378135064433827,0.07803290210108435,0.07620406596519916,0.429216280648241,0.3303291081734515,0.07088630866895182,0.06918771187304718,0.41911737994772963,0.6454239415814809,0.1605997589660942,0.1581528551825244,0.6625538152633033,0.39559685415512713,0.03704184817165062,0.03660938616715798,0.3915071700515105
